group_key,size_mass_bin,thrust_to_weight_bin,torque_to_inertia_bin,motor_delay_bin,curve_shape_bin,sample_count,loss_mean,success_mean,action_saturation_mean
335,1,1,0,3,3,6250,0.0765237,0.9488,0.0280125
336,1,1,1,0,0,6250,0.0671501,0.95024,0.01512
337,1,1,1,0,1,6250,0.0594172,0.9744,0.01433
338,1,1,1,0,2,6250,0.0752164,0.96976,0.013025
339,1,1,1,0,3,6250,0.0676426,0.9608,0.0133325
340,1,1,1,1,0,6250,0.0625019,0.95264,0.02126
341,1,1,1,1,1,6250,0.0627249,0.97248,0.0191225
342,1,1,1,1,2,6250,0.0545651,0.9688,0.018845
343,1,1,1,1,3,6250,0.0682365,0.95984,0.0178075
344,1,1,1,2,0,6250,0.0724991,0.94608,0.0268875
345,1,1,1,2,1,6250,0.0659188,0.96736,0.0252675
346,1,1,1,2,2,6250,0.0649507,0.96896,0.0239375
347,1,1,1,2,3,6250,0.0661829,0.95344,0.0254225
348,1,1,1,3,0,6250,0.091348,0.93632,0.0341925
349,1,1,1,3,1,6250,0.0909753,0.95536,0.0309775
350,1,1,1,3,2,6250,0.085952,0.96064,0.0305975
351,1,1,1,3,3,6250,0.0839654,0.948,0.0335725
352,1,1,2,0,0,6250,0.10926,0.95968,0.02147
353,1,1,2,0,1,6250,0.10255,0.97648,0.0189075
354,1,1,2,0,2,6250,0.149028,0.972,0.0183575
355,1,1,2,0,3,6250,0.12796,0.96384,0.0185725
356,1,1,2,1,0,6250,0.0987866,0.95312,0.0316375
357,1,1,2,1,1,6250,0.10428,0.97488,0.02709
358,1,1,2,1,2,6250,0.106731,0.96832,0.0266675
359,1,1,2,1,3,6250,0.0946726,0.96224,0.0259325
360,1,1,2,2,0,6250,0.0852704,0.9456,0.0377075
361,1,1,2,2,1,6250,0.0833537,0.96288,0.03538
362,1,1,2,2,2,6250,0.0943995,0.96752,0.03453
363,1,1,2,2,3,6250,0.109904,0.95504,0.035245
364,1,1,2,3,0,6250,0.118047,0.93408,0.04669
365,1,1,2,3,1,6250,0.124293,0.95776,0.0437175
366,1,1,2,3,2,6250,0.099143,0.9592,0.0433025
367,1,1,2,3,3,6250,0.107773,0.94544,0.0448375
368,1,1,3,0,0,6250,0.184934,0.9616,0.0276875
369,1,1,3,0,1,6250,0.18291,0.972,0.023955
370,1,1,3,0,2,6250,0.30715,0.97408,0.02403
371,1,1,3,0,3,6250,0.163465,0.96112,0.025245
372,1,1,3,1,0,6250,0.1356,0.94544,0.039875
373,1,1,3,1,1,6250,0.152747,0.96784,0.036125
374,1,1,3,1,2,6250,0.186209,0.96928,0.034405
375,1,1,3,1,3,6250,0.211224,0.95712,0.034805
376,1,1,3,2,0,6250,0.137127,0.9416,0.048155
377,1,1,3,2,1,6250,0.13327,0.96272,0.045435
378,1,1,3,2,2,6250,0.199889,0.96,0.045415
379,1,1,3,2,3,6250,0.237884,0.952,0.046995
380,1,1,3,3,0,6250,0.197832,0.92784,0.0595375
381,1,1,3,3,1,6250,0.184815,0.94896,0.0581025
382,1,1,3,3,2,6250,0.180979,0.9536,0.058405
383,1,1,3,3,3,6250,0.154931,0.93504,0.057875
384,1,2,0,0,0,6250,0.0734834,0.8336,0.013765
385,1,2,0,0,1,6250,0.0559475,0.92832,0.01209
386,1,2,0,0,2,6250,0.0484986,0.95488,0.0119525
387,1,2,0,0,3,6250,0.0463433,0.95904,0.0114075
388,1,2,0,1,0,6250,0.0797202,0.83328,0.0179275
389,1,2,0,1,1,6250,0.0603912,0.92672,0.015485
390,1,2,0,1,2,6250,0.051183,0.95888,0.0150725
391,1,2,0,1,3,6250,0.0518071,0.95712,0.01485
392,1,2,0,2,0,6250,0.0858839,0.83648,0.0195625
393,1,2,0,2,1,6250,0.0670918,0.9304,0.0172425
394,1,2,0,2,2,6250,0.0600587,0.9584,0.01745
395,1,2,0,2,3,6250,0.0587611,0.95392,0.0176875
396,1,2,0,3,0,6250,0.0986421,0.84752,0.022595
397,1,2,0,3,1,6250,0.0791923,0.93216,0.0195525
398,1,2,0,3,2,6250,0.0692227,0.96,0.020105
399,1,2,0,3,3,6250,0.0717777,0.95056,0.0232925
400,1,2,1,0,0,6250,0.0833697,0.87696,0.01875
401,1,2,1,0,1,6250,0.0664048,0.94496,0.015485
402,1,2,1,0,2,6250,0.0564753,0.96336,0.01313
403,1,2,1,0,3,6250,0.0597131,0.96064,0.01202
404,1,2,1,1,0,6250,0.0879675,0.84688,0.026555
405,1,2,1,1,1,6250,0.0655687,0.94384,0.020345
406,1,2,1,1,2,6250,0.0532228,0.96272,0.0183525
407,1,2,1,1,3,6250,0.0527273,0.9616,0.016325
408,1,2,1,2,0,6250,0.0925136,0.85744,0.03101
409,1,2,1,2,1,6250,0.0773446,0.93328,0.02599
410,1,2,1,2,2,6250,0.0687372,0.96256,0.0231775
411,1,2,1,2,3,6250,0.0668954,0.95616,0.0224925
412,1,2,1,3,0,6250,0.119555,0.85472,0.0386725
413,1,2,1,3,1,6250,0.0958593,0.92768,0.03247
414,1,2,1,3,2,6250,0.0822576,0.9576,0.030685
415,1,2,1,3,3,6250,0.0846062,0.94736,0.030525
416,1,2,2,0,0,6250,0.120882,0.87904,0.0260725
417,1,2,2,0,1,6250,0.106357,0.9488,0.02056
418,1,2,2,0,2,6250,0.133276,0.96736,0.01805
419,1,2,2,0,3,6250,0.132136,0.96,0.0166975
420,1,2,2,1,0,6250,0.0998036,0.87424,0.035845
421,1,2,2,1,1,6250,0.119303,0.94784,0.0304825
422,1,2,2,1,2,6250,0.0992268,0.96576,0.0265175
423,1,2,2,1,3,6250,0.0881871,0.96288,0.02433
424,1,2,2,2,0,6250,0.102655,0.86032,0.04444
425,1,2,2,2,1,6250,0.111001,0.93872,0.03869
426,1,2,2,2,2,6250,0.088983,0.95872,0.0347625
427,1,2,2,2,3,6250,0.0969965,0.96032,0.0316975
